section number	section name	group id	root question	question	answer range	min label	max label	skip label	question id	objective	levers
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	decarbonisation of your company's whole value chain	1-5	Not at all developed	Fully developed	Don’t know	1.01	decarbonisation	tbc
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	reducing the material usage across the value chain	1-5	Not at all developed	Fully developed	Don’t know	1.02	dematerialisation	tbc
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	making ethically charged technology decisions	1-5	Not at all developed	Fully developed	Don’t know	1.03	automation and digitization	tbc
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	training employees in the ethical use of data	1-5	Not at all developed	Fully developed	Don’t know	1.04	automation and digitization	tbc
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	attracting the talent necessary for the future of the company	1-5	Not at all developed	Fully developed	Don’t know	1.05	purpose and impact	tbc
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	implementing a vision for positively impacting society	1-5	Not at all developed	Fully developed	Don’t know	1.06	purpose and impact	tbc
1	Strategy & priorities	1	Please indicate how developed your company’s strategy is for	business continuity plans for various kinds of severe economic or societal disruptions?	1-5	Not at all developed	Fully developed	Don’t know	1.07	purpose and impact	tbc
1	Strategy & priorities	2	Does your company have a team responsible for	overseeing the ethical implementation of technology	boolean	no	yes	Don’t know	2.01	automation and digitization	tbc
1	Strategy & priorities	2	Does your company have a team responsible for	compiling a csr report	boolean	no	yes	Don’t know	2.02	purpose and impact	tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	suppliers and distributors	1-5	low priority	high priority	Don’t know	3.01	decarbonisation	tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	carbon footprint	1-5	low priority	high priority	Don’t know	3.02	purpose and impact	tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	cost	1-5	low priority	high priority	Don’t know	3.03		tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	resilience	1-5	low priority	high priority	Don’t know	3.04		tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	flexibility	1-5	low priority	high priority	Don’t know	3.05		tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	reliability	1-5	low priority	high priority	Don’t know	3.06		tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	timeliness	1-5	low priority	high priority	Don’t know	3.07		tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	reputation/track record	1-5	low priority	high priority	Don’t know	3.08		tbc
1	Strategy & priorities	3	What level of priority does the company give the when choosing its suppliers and distributors	responsiveness	1-5	low priority	high priority	Don’t know	3.09		tbc
